P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
153984,161103,146853,110120,140987,145445,141856,88557,147390,141435,152114,144674,150922,93052
153984,161090,146898,108475,141012,145559,141845,87046,149057,141101,152119,144662,150912,91059
153998,161088,146912,106856,141000,145723,141821,85594,150594,140681,152124,144698,150914,89063
153998,161093,146934,105336,140980,145854,141800,83949,151964,140206,152136,144838,150900,87091
154009,161102,146961,103648,140964,145984,141782,82191,153142,139631,152148,144992,150889,85207
154005,161112,146950,102099,140951,146145,141764,80612,154055,139016,152175,144959,150880,83302
154007,161112,146946,100411,140920,146338,141732,79024,154782,138313,152202,145041,150879,81413
154017,161116,146932,98745,140885,146521,141686,77418,155277,137607,152227,145109,150854,79520
154015,161118,146919,97165,140861,146711,141650,75769,155555,136899,152247,145179,150838,77695
154009,161115,146920,95547,140833,146904,141625,74192,155633,136227,152271,145260,150795,75911
153998,161115,146861,93971,140811,147150,141588,72599,155570,135495,152284,145365,150748,74186
153995,161112,146856,92337,140783,147368,141570,71000,155449,134810,152303,145450,150732,72451
153998,161128,146804,90706,140721,147719,141569,69493,155450,134109,152306,145543,150701,70784
153998,161119,146807,89078,140681,147918,141558,67949,155179,133381,152313,145663,150658,69233
153985,161137,146718,87437,140650,148184,141545,66308,154775,132646,152315,145804,150607,67416
154004,161147,146657,85821,140624,148453,141543,64807,154353,131932,152314,145963,150547,65926
153989,161152,146575,84255,140589,148671,141583,63319,153853,131027,152306,146128,150513,64353
153995,161128,146475,82552,140495,148807,141664,61795,153331,130321,152317,146336,150469,62763
153996,161115,146355,80958,140417,149022,141607,60296,152726,129603,152324,146674,150427,61193
154007,161101,146255,79238,140344,149260,141608,58746,152079,128818,152313,146802,150351,59620
154019,161094,146155,77586,140262,149428,141606,57322,151421,128022,152332,147051,150290,58051
154045,161084,146080,75982,140189,149754,141600,55858,150723,127014,152332,147248,150170,56485
